ORF,Gene,Well ID,Well cell count,Mean Intensity 488nm,STD Intensity 488nm,Median Intensity 488nm
YCL032W,STE50,10C22,900,141.81271720000004,17.842825473668118,139.700905
YCR028C-A,RIM1,15N4,3,141.81889999999999,3.329089487878026,140.99599
YOR336W,KRE5,16L6,43,141.8388588372093,20.1268534707626,140.93314
YHR128W,FUR1,6B14,1409,141.86729243435053,14.715181390247619,144.9444
YBR187W,GDT1,16C13,33,141.9178239393939,24.81224065239851,151.5667
YLR406C-A,YLR406C-A,16J15,34,141.92040294117646,25.987197206191748,148.81548500000002
YMR009W,ADI1,13E24,8,141.94532124999998,32.7198465465959,141.70092499999998
YDR415C,YDR415C,16I19,33,142.01309606060607,25.683951341621015,147.62447
YMR300C,ADE4,4A19,23,142.01497260869567,28.518669968574052,143.50452
YER025W,GCD11,2C23,20,142.080429,16.456180377218672,149.97011
YER150W,SPI1,16M7,48,142.10014750000002,23.776955550944386,141.66647
YOR310C,NOP58,6I14,2457,142.176844802605,16.044229505004242,145.2476
YPL255W,BBP1,9O7,3,142.19189,19.952588995518852,153.62318
YJR089W,BIR1,10L3,2487,142.1927138118215,17.129974541541877,144.04967
YDL070W,BDF2,16G5,40,142.22888525000002,23.56647504089502,142.97459
YOL116W,MSN1,11A8,2018,142.23769850346886,22.99858444491995,150.52481
YDR470c,UGO1,3H23,3,142.26047666666668,27.315345194147433,156.05666
YGL134W,PCL10,6F15,614,142.30713781758956,12.798459326596397,144.25208500000002
YGL020C,GET1,16A6,18,142.3296322222222,20.963091624791293,146.68523
YGR094W,VAS1,15E15,13,142.34979846153846,21.85791422520069,149.22939
YLR243W,GPN3,16H21,33,142.35643212121212,30.430720204388418,146.87216
YDL178W,DLD2,15B18,98,142.37279959183678,12.384037905266862,143.8585
YLL056C,YLL056C,16F13,46,142.39019608695654,26.856979242967114,146.854605
YBR176W,ECM31,15A16,2174,142.39129690892347,13.607531095409701,144.87705
YLR063W,BMT6,15H16,1013,142.39289622902268,15.18059989105816,142.714
YGL080W,MPC1,6A1,15,142.46156266666668,28.44257275927596,156.15207
YGL002W,ERP6,16A4,42,142.47523428571427,22.047939103735413,148.36517500000002
YDR524C-B,YDR524C-B,16K9,9,142.62686222222223,17.180504882493832,143.30431
YML031W,NDC1,3P17,706,142.643237266289,13.409754189913865,144.85887
YDL174C,DLD1,15B17,858,142.66139360139874,11.829003918124798,143.67784
YGR028W,MSP1,10B22,645,142.69617736434108,16.868433167157907,140.57458
YDR325W,YCG1,6H14,534,142.70035292134833,14.734728432521068,144.43212
YHR212W-A,YHR212W-A,16I12,53,142.73506207547166,31.485817500469857,153.46806
YNR059W,MNT4,16F10,27,142.75449333333333,21.32144277816529,146.48825
YMR182C,RGM1,10G21,765,142.78911018300636,20.948620700815045,137.83739
YER005W,YND1,2C7,9,142.87413888888892,29.071047534754165,157.01965
YDR518W,EUG1,16K5,46,142.8793315217391,20.879554184706038,141.587585
YKR069W,MET1,16F5,70,142.8965975714286,13.461951100357151,142.746775
YLR300W,EXG1,16J3,6,142.927945,20.96000194702448,146.71431
YPR122W,AXL1,10H23,555,142.92939457657653,20.34521847484657,140.01637
YBR055C,PRP6,10F21,1063,142.9325354562559,17.804570441540047,139.6216
YOR375C,GDH1,6G16,545,142.95835379816512,15.13459328723191,145.27515
YML114C,TAF8,6H16,1372,142.9643912755101,14.148142552167771,145.40706
YJR075W,HOC1,16B9,29,142.97596965517243,27.2873311087552,150.66086
YMR114C,YMR114C,6E16,374,142.9886029411765,13.658550500288246,144.393455
YKL186C,MTR2,6O16,1111,142.99150818181838,19.232487343866893,146.03067
YJL192C,SOP4,16B3,19,142.9985810526316,25.580144449168834,152.84541
YHR010W,RPL27A,13L23,7,142.99913142857142,24.413750048527593,146.339
YMR242W-A,YMR242W-A,13A11,3,143.06892000000002,36.28805047362562,155.19012
YNL125C,ESBP6,4G17,7,143.14735857142858,40.824839588965695,119.55664
YDR249C,YDR249C,12O6,19,143.19738315789473,27.026754036744993,151.02606
YJL073W,JEM1,16M10,20,143.34516200000002,24.176081736920896,150.558135
YML007C-A,YML007C-A,15I16,13,143.3658130769231,27.621988416947644,153.81554
YJL005W,CYR1,2L20,10,143.376632,35.47006801956695,141.596505
YNL118C,DCP2,6M20,22,143.37949181818183,18.428665956262307,151.79567
YLR289W,GUF1,3H11,7,143.39020285714287,32.25259136674484,142.72275
YGL240W,DOC1,14E8,25,143.44326039999999,24.390721110662057,143.0713
YDR505C,PSP1,6M12,34,143.49971088235299,19.56722807509526,145.743665
YBR175W,SWD3,6J14,2340,143.50978507692298,15.604755412950398,145.595885
YBR152W,SPP381,9J20,13,143.53988384615386,27.922498586966725,144.22496
YJL088W,ARG3,6A13,2150,143.63793209302298,15.245391985535424,143.56848
YHR167W,THP2,10F22,1927,143.65645423456164,19.337971512697145,139.48894
YDR057W,YOS9,16G13,32,143.66049750000002,29.129637183627064,156.401345
